#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	QB-	QB-_unc	QB-n	QB-n_unc	QB-2n	QB-2n_unc	QB-3n	QB-3n_unc	T1/2_[s]	D_T1/2_[s]	pn1_%	D_pn1	pn2_%	D_pn2	pn3_%	D_pn3	Neueff_unity	lowerEff	upperEff
98Y	39	98	1	0	0	100	0	8992	12	2576.6	7.9	0	0	0	0	2.32	0.08	3.44	0.95	0	0	0	0	0.669546	0.022236777228376	0.020416032364404
99Y	39	99	0	0	0	100	0	6971	12	2566	11	0	0	0	0	1.478	0.007	1.97	0.3	0	0	0	0	0.669549	0.022172496432763	0.020415584195925
100Y	39	100	0	0	0	100	0	9050	14	2222	15	0	0	0	0	0.732	0.005	0.54	0.54	0	0	0	0	0.670587	0.021445472088814	0.020302805917215
100Y	39	100	1	145	15	100	0	9050	14	2222	15	0	0	0	0	0.94	0.03	0.54	0.54	0	0	0	0	0.670587	0.021445472088814	0.020302805917215
101Y	39	101	0	0	0	100	0	8105	11	3245	11	0	0	0	0	0.432	0.012	1.98	0.2	0	0	0	0	0.66888	0.025048961215188	0.02052614939437
102Y	39	102	1	0	0	100	0	10414.5	9.7	3921.5	9.3	0	0	0	0	0.396	0.036	6	1.7	0	0	0	0	0.6664	0.027406068306125	0.02095485397229
102Y	39	102	0	0	0	100	0	10414.5	9.7	3921.5	9.3	0	0	0	0	0.3	0.01	4	1.5	0	0	0	0	0.6664	0.027406068306125	0.02095485397229
103Y	39	103	0	0	0	100	0	9358	15	5059	14	0	0	0	0	0.236	0.016	8.1	2	0	0	0	0	0.662537	0.033802219301876	0.021112216196603
104Y	39	104	0	0	0	100	0	11660	400	5680	400	1380	400	0	0	0.212	0.02	34	10	0	0	0	0	0.658364	0.036248515360583	0.022678892319653
105Y	39	105	0	0	0	100	0	10200	1300	6400	1300	400	1300	0	0	0.1065	0.0075	41	41	0	0	0	0	0.655304	0.039216444104156	0.024192788164542
106Y	39	106	0	0	0	100	0	12500	660	7340	500	3530	500	0	0	0.0845	0.0075	0	0	0	0	0	0	0.651888	0.045394661845746	0.025413433634391
107Y	39	107	0	0	0	100	0	12000	1200	8110	660	2960	500	0	0	0.0335	0.003	0	0	0	0	0	0	0.648049	0.046057396417524	0.026852099354816
108Y	39	108	0	0	0	100	0	14060	720	9000	1300	5110	740	-50	600	0.03	0.005	0	0	0	0	0	0	0.642659	0.048810089246517	0.028840407976534
109Y	39	109	0	0	0	100	0	12990	860	10080	810	5000	1300	1140	820	0.025	0.005	0	0	0	0	0	0	0.637033	0.05482098013334	0.032145746884776
103Zr	40	103	0	0	0	100	0	7213	10	417.9	9.6	0	0	0	0	1.38	0.072	0.5	0.5	0	0	0	0	0.672314	0.020208551460617	0.020193360100201
104Zr	40	104	0	0	0	100	0	6095	9.7	1233	10	0	0	0	0	0.92	0.028	0.5	0.5	0	0	0	0	0.6732	0.020527282942465	0.020212558967137
105Zr	40	105	0	0	0	100	0	8451	13	2283	12	0	0	0	0	0.667	0.028	1	1	0	0	0	0	0.670231	0.02139450242527	0.020336640283609
106Zr	40	106	0	0	0	100	0	7650	430	3290	430	0	0	0	0	0.175	0.007	3.5	3.5	0	0	0	0	0.668703	0.025208481846158	0.020558947954312
107Zr	40	107	0	0	0	100	0	9300	1100	3800	1100	-600	1100	0	0	0.15	0.003	11.5	11.5	0	0	0	0	0.66708	0.026817719100625	0.020869939979789
108Zr	40	108	0	0	0	100	0	8190	400	4300	400	0	0	0	0	0.0785	0.002	0	0	0	0	0	0	0.664251	0.029161113694454	0.021260633854636
109Zr	40	109	0	0	0	100	0	10500	570	5280	500	1390	500	0	0	0.056	0.003	0	0	0	0	0	0	0.661016	0.033956178127557	0.0215959403831
110Zr	40	110	0	0	0	100	0	9400	1000	5730	650	520	600	0	0	0.0375	0.002	0	0	0	0	0	0	0.657962	0.036755878850867	0.022864188485481
111Zr	40	111	0	0	0	100	0	11320	760	6700	1100	2990	750	0	0	0.024	0.005	0	0	0	0	0	0	0.65416	0.040323738058866	0.024596795706758
112Zr	40	112	0	0	0	100	0	10460	760	6990	760	2400	1100	0	0	0.04	0.02	0	0	0	0	0	0	0.653135	0.042748927839216	0.024951302559235
103Nb	41	103	0	0	0	100	0	5932	10	466.1	9.2	0	0	0	0	1.5	0.2	0	0	0	0	0	0	0.673073	0.020195052290007	0.020192197156231
104Nb	41	104	0	0	0	100	0	8531	9.3	1070.3	9.6	0	0	0	0	4.9	0.4	0.06	0.03	0	0	0	0	0.673276	0.020430407630745	0.020203517390752
104Nb	41	104	1	8.7	0.2	0	0	8531	9.3	1070.3	9.6	0	0	0	0	0.87	0.03	0.05	0.03	0	0	0	0	0.673276	0.020430407630745	0.020203517390752
105Nb	41	105	0	0	0	100	0	7421.6	9.9	2363.1	9.8	0	0	0	0	2.91	0.07	1.7	0.9	0	0	0	0	0.669751	0.021326796801229	0.02038962446444
106Nb	41	106	0	0	0	100	0	9931	10	3062.5	10	0	0	0	0	0.97	0.05	4.5	0.3	0	0	0	0	0.669391	0.024603123293454	0.020439773990749
107Nb	41	107	0	0	0	100	0	8828	12	4339	12	0	0	0	0	0.29	0.011	7.4	1	0	0	0	0	0.664026	0.029339547982346	0.021295733370992
108Nb	41	108	0	0	0	100	0	11210	12	4934	12	446	12	0	0	0.195	0.006	6.3	0.5	0	0	0	0	0.662745	0.033080637275036	0.021153371493039
109Nb	41	109	0	0	0	100	0	9980	260	5990	260	0	0	0	0	0.113	0.011	31	5	0	0	0	0	0.656878	0.03736251979184	0.023381550252188
110Nb	41	110	0	0	0	100	0	12230	840	6280	840	2300	840	0	0	0.0817	0.002	40	8	0	0	0	0	0.65568	0.038706763390395	0.023992858940943
111Nb	41	111	0	0	0	100	0	11060	300	7600	300	1650	300	0	0	0.054	0.002	0	0	0	0	0	0	0.650829	0.047214284835385	0.02582371680291
112Nb	41	112	0	0	0	100	0	13190	360	7600	300	4130	300	0	0	0.038	0.002	0	0	0	0	0	0	0.650829	0.047214284835385	0.02582371680291
113Nb	41	113	0	0	0	100	0	11980	500	8880	450	3290	400	-180	400	0.032	0.004	0	0	0	0	0	0	0.643402	0.048137336073402	0.028566606400544
114Nb	41	114	0	0	0	100	0	14420	590	9030	590	5930	540	340	500	0.017	0.005	0	0	0	0	0	0	0.642331	0.049106806312414	0.028962006891873
115Nb	41	115	0	0	0	100	0	13400	640	10380	590	4990	590	1900	540	0.023	0.008	0	0	0	0	0	0	0.635366	0.05199203152946	0.03321632381165
109Mo	42	109	0	0	0	100	0	7617	15	1185	14	0	0	0	0	0.692	0.026	1.3	1.3	0	0	0	0	0.6732	0.020521936190331	0.020213921366227
110Mo	42	110	0	0	0	100	0	6492	26	1669	26	0	0	0	0	0.287	0.01	2	2	0	0	0	0	0.6732	0.020868983324542	0.020202237994836
111Mo	42	111	0	0	0	100	0	9084.9	6.8	3023	15	0	0	0	0	0.186	0.009	6	6	0	0	0	0	0.669407	0.024487942491849	0.02043727005948
111Mo	42	111	1	0	0	100	0	9084.9	6.8	3023	15	0	0	0	0	0.2	0.2	0	0	0	0	0	0	0.669407	0.024487942491849	0.02043727005948
112Mo	42	112	0	0	0	100	0	7800	200	3490	200	0	0	0	0	0.125	0.005	0	0	0	0	0	0	0.668131	0.025773946900793	0.020674958061503
113Mo	42	113	0	0	0	100	0	10320	300	4700	300	390	300	0	0	0.08	0.002	0	0	0	0	0	0	0.663138	0.031725528763751	0.021232134380217
114Mo	42	114	0	0	0	100	0	8790	530	4930	300	0	0	0	0	0.058	0.002	0	0	0	0	0	0	0.662723	0.033156217414779	0.021148998043787
115Mo	42	115	0	0	0	100	0	11570	890	5780	590	1920	400	0	0	0.0455	0.002	0	0	0	0	0	0	0.657686	0.036944837421978	0.022992986390123
116Mo	42	116	0	0	0	0	0	9960	580	6750	940	960	660	0	0	0.032	0.004	0	0	0	0	0	0	0.654045	0.040432181239979	0.024636310190905
117Mo	42	117	0	0	0	0	0	12210	640	7210	580	4010	930	0	0	0.022	0.005	0	0	0	0	0	0	0.652337	0.044527173966154	0.025242827524113
118Mo	42	118	0	0	0	100	0	11160	640	7680	640	2680	580	-520	930	0.0205	0.0055	0	0	0	0	0	0	0.650555	0.047652013716343	0.025931742174842
109Tc	43	109	0	0	0	100	0	6456	13	1307	12	0	0	0	0	0.89	0.08	0.08	0.02	0	0	0	0	0.6732	0.020535926007853	0.020210445616067
110Tc	43	110	0	0	0	100	0	9038	13	1633	13	0	0	0	0	0.911	0.014	0.04	0.02	0	0	0	0	0.6732	0.020810304586911	0.020202979408988
111Tc	43	111	0	0	0	100	0	7761	14	2977	13	0	0	0	0	0.294	0.02	0.85	0.2	0	0	0	0	0.669421	0.024284640077977	0.020435089153632
112Tc	43	112	0	0	0	100	0	10372	11	3455	11	0	0	0	0	0.305	0.01	1.7	0.4	0	0	0	0	0.668237	0.025662405583891	0.020652311937217
113Tc	43	113	0	0	0	100	0	9057	37	4748	10	0	0	0	0	0.152	0.008	2.1	0.3	0	0	0	0	0.663034	0.03209184526699	0.021211791547165
114Tc	43	114	0	0	0	100	0	11620	430	5200	430	890	430	0	0	0.09	0.02	0.85	0.85	0	0	0	0	0.661447	0.033949124236541	0.021444295755004
114Tc	43	114	1	0	0	100	0	11620	430	5200	430	890	430	0	0	0.1	0.02	0.85	0.85	0	0	0	0	0.661447	0.033949124236541	0.021444295755004
115Tc	43	115	0	0	0	100	0	9870	790	5830	790	-590	790	0	0	0.078	0.002	0	0	0	0	0	0	0.657454	0.037063804255694	0.023102338126354
116Tc	43	116	0	0	0	100	0	12610	300	6660	310	2620	300	0	0	0.057	0.003	0	0	0	0	0	0	0.654214	0.040274742991314	0.024578811566396
117Tc	43	117	0	0	0	100	0	11110	590	7620	400	1670	410	0	0	0.0445	0.003	0	0	0	0	0	0	0.65071	0.047404096423094	0.025870170654443
118Tc	43	118	0	0	0	100	0	13470	450	7630	590	4140	400	0	0	0.03	0.004	0	0	0	0	0	0	0.650671	0.047467413024273	0.025885700226513
119Tc	43	119	0	0	0	100	0	12190	590	8820	540	2980	660	0	0	0.022	0.003	0	0	0	0	0	0	0.643485	0.048063228217656	0.028535869983277
120Tc	43	120	0	0	0	100	0	14490	640	8980	590	5600	540	-240	660	0.021	0.005	0	0	0	0	0	0	0.642551	0.048907129468421	0.028880662126082
121Tc	43	121	0	0	0	100	0	13270	640	10160	640	4640	580	1270	540	0.022	0.006	0	0	0	0	0	0	0.636524	0.053691519659239	0.032470589251173
114Ru	44	114	0	0	0	100	0	5489	72	474.4	7.9	0	0	0	0	0.543	0.05	0	0	0	0	0	0	0.673206	0.02019698211596	0.020197131048552
115Ru	44	115	0	0	0	100	0	8040	89	1450	110	0	0	0	0	0.318	0.019	0	0	0	0	0	0	0.6732	0.02057788453656	0.020206716210211
115Ru	44	115	1	61.7	0	0	0	8040	89	1450	110	0	0	0	0	0.076	0.006	0	0	0	0	0	0	0.6732	0.02057788453656	0.020206716210211
116Ru	44	116	0	0	0	100	0	6667	74	2089.6	8.2	0	0	0	0	0.204	0.006	0	0	0	0	0	0	0.671233	0.021539013493197	0.020253681326122
117Ru	44	117	0	0	0	100	0	9410	430	3170	440	0	0	0	0	0.151	0.003	0	0	0	0	0	0	0.669094	0.024859800054554	0.020488468433546
118Ru	44	118	0	0	0	100	0	7630	200	3570	200	0	0	0	0	0.099	0.003	0	0	0	0	0	0	0.667884	0.026041353453889	0.020729736846145
119Ru	44	119	0	0	0	100	0	10260	300	4250	300	190	300	0	0	0.0695	0.002	0	0	0	0	0	0	0.664413	0.02903475013001	0.021235719816199
120Ru	44	120	0	0	0	100	0	8800	450	4740	400	0	0	0	0	0.045	0.002	0	0	0	0	0	0	0.66304	0.032073126405762	0.021212655124713
121Ru	44	121	0	0	0	100	0	11200	740	5700	450	1630	400	0	0	0.029	0.002	0	0	0	0	0	0	0.657982	0.036730897853056	0.022855123738269
122Ru	44	122	0	0	0	100	0	9930	580	6030	800	520	540	0	0	0.025	0.001	0	0	0	0	0	0	0.656637	0.037487944192661	0.023501165732621
123Ru	44	123	0	0	0	100	0	12280	640	6930	580	3030	800	0	0	0.019	0.002	0	0	0	0	0	0	0.653374	0.042118953281016	0.024867441253342
124Ru	44	124	0	0	0	100	0	10930	720	7330	720	1980	670	0	0	0.015	0.003	0	0	0	0	0	0	0.651784	0.045593765893929	0.025453234949421
125Ru	44	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.673097	0.020193880713427	0.020193053019989
115Rh	45	115	0	0	0	100	0	6197	15	1190	10	0	0	0	0	1.03	0.03	0	0	0	0	0	0	0.6732	0.020522468954782	0.020213795289356
116Rh	45	116	0	0	0	100	0	9096	74	1619	75	0	0	0	0	0.69	0.05	1.05	1.05	0	0	0	0	0.6732	0.020804049245279	0.020203058481329
116Rh	45	116	1	150	0	100	0	9096	74	1619	75	0	0	0	0	0.57	0.05	1.05	1.05	0	0	0	0	0.6732	0.020804049245279	0.020203058481329
117Rh	45	117	0	0	0	100	0	7527	11	2863	11	0	0	0	0	0.42	0.04	3.8	3.8	0	0	0	0	0.669452	0.023842648390512	0.020430293347713
118Rh	45	118	0	0	0	100	0	10501	24	3466	25	0	0	0	0	0.285	0.01	3.1	1.4	0	0	0	0	0.668179	0.025723598104404	0.020664638865388
119Rh	45	119	0	0	0	100	0	8585	12	4494.6	9.6	0	0	0	0	0.19	0.006	6.4	1.6	0	0	0	0	0.663488	0.03038526711302	0.021304429551847
120Rh	45	120	0	0	0	100	0	11470	200	4520	200	430	200	0	0	0.131	0.005	2.7	2.7	0	0	0	0	0.663441	0.030566088536692	0.021294211993706
121Rh	45	121	0	0	0	100	0	9930	620	5960	620	0	0	0	0	0.076	0.005	0	0	0	0	0	0	0.656899	0.037351808076463	0.023371323509397
122Rh	45	122	0	0	0	0	0	12540	300	6030	300	2060	300	0	0	0.051	0.006	0	0	0	0	0	0	0.656628	0.037492907307191	0.023505848683798
123Rh	45	123	0	0	0	100	0	11070	890	7190	400	680	400	0	0	0.042	0.004	0	0	0	0	0	0	0.652286	0.044625335396122	0.02526186650302
124Rh	45	124	0	0	0	100	0	13500	500	7470	890	3580	400	0	0	0.03	0.002	0	0	0	0	0	0	0.651226	0.046580113758646	0.025668560025222
125Rh	45	125	0	0	0	100	0	12120	640	8320	580	2290	930	0	0	0.0265	0.002	0	0	0	0	0	0	0.646416	0.047560199847671	0.02746581112129
126Rh	45	126	0	0	0	100	0	14560	640	8750	640	4950	580	0	0	0.019	0.003	0	0	0	0	0	0	0.643796	0.047781435481308	0.028422383162824
127Rh	45	127	0	0	0	100	0	13150	780	9760	720	3950	720	150	670	0.0265	0.0135	0	0	0	0	0	0	0.638192	0.057557610495725	0.031414470582482
119Pd	46	119	0	0	0	100	0	7238	17	74.6	8.6	0	0	0	0	0.92	0.11	0	0	0	0	0	0	0.673048	0.020191982400785	0.020195129246271
120Pd	46	120	0	0	0	100	0	5371.5	5	294	15	0	0	0	0	0.492	0.033	0	0	0	0	0	0	0.672288	0.020239154711835	0.020188532771096
121Pd	46	121	0	0	0	100	0	8220	13	1397.9	5.6	0	0	0	0	0.29	0.001	0	0	0	0	0	0	0.6732	0.020547250545998	0.020207920526368
122Pd	46	122	0	0	0	100	0	6490	43	1715	23	0	0	0	0	0.193	0.006	0	0	0	0	0	0	0.6732	0.020951349383751	0.020201352454724
123Pd	46	123	0	0	0	100	0	9120	790	2610	790	0	0	0	0	0.108	0.002	10	10	0	0	0	0	0.66953	0.02255098407631	0.020418429881115
124Pd	46	124	0	0	0	100	0	7810	390	3090	300	0	0	0	0	0.081	0.017	17	5	0	0	0	0	0.669244	0.024729046633107	0.02046335051702
125Pd	46	125	0	0	0	100	0	10400	590	4010	470	0	0	0	0	0.06	0.007	12	4	0	0	0	0	0.665765	0.027971639578375	0.021039260935273
126Pd	46	126	0	0	0	0	0	8820	450	4590	590	0	0	0	0	0.0486	0.0008	22	9	0	0	0	0	0.663301	0.031096466213075	0.021265497759067
127Pd	46	127	0	0	0	100	0	11260	540	5430	540	1200	660	0	0	0.038	0.002	9.5	9.5	0	0	0	0	0.659806	0.034452767129396	0.022058553598829
128Pd	46	128	0	0	0	100	0	10130	580	5880	540	50	540	0	0	0.035	0.003	0	0	0	0	0	0	0.65723	0.037179693202204	0.023209829180974
129Pd	46	129	0	0	0	100	0	14370	720	8940	670	4690	630	0	0	0.031	0.007	0	0	0	0	0	0	0.64264	0.048827319736394	0.028847464943041
120Ag	47	120	0	0	0	0	0	8305.9	5.8	254	38	0	0	0	0	0.94	0.1	0.0015	0.0015	0	0	0	0	0.672742	0.020220194428037	0.020186323184463
120Ag	47	120	1	0	0	100	0	8305.9	5.8	254	38	0	0	0	0	1.52	0.07	0.0015	0.0015	0	0	0	0	0.672742	0.020220194428037	0.020186323184463
120Ag	47	120	2	203	1	63	0	8305.9	5.8	254	38	0	0	0	0	0.44	0.05	0.0015	0.0015	0	0	0	0	0.672742	0.020220194428037	0.020186323184463
121Ag	47	121	0	0	0	100	0	6671	12	1483	13	0	0	0	0	0.777	0.012	0.08	0.013	0	0	0	0	0.6732	0.020620394273631	0.020205886271085
122Ag	47	122	0	0	0	99.8	0	9506	38	1896	38	0	0	0	0	0.529	0.019	0.096	0.096	0	0	0	0	0.672286	0.021257065748038	0.02020727886719
122Ag	47	122	1	80	50	0	0	9506	38	1896	38	0	0	0	0	0.2	0.05	0.096	0.096	0	0	0	0	0.672286	0.021257065748038	0.02020727886719
123Ag	47	123	0	0	0	100	0	7866	31	2993	31	0	0	0	0	0.296	0.007	0.56	0.09	0	0	0	0	0.669413	0.024407678548197	0.020436334238608
124Ag	47	124	0	0	0	100	0	10500	250	3140	250	0	0	0	0	0.191	0.028	1.1	1.1	0	0	0	0	0.669084	0.024868410084893	0.020490180944794
124Ag	47	124	1	0	0	100	0	10500	250	3140	250	0	0	0	0	0.144	0.02	1.1	1.1	0	0	0	0	0.669084	0.024868410084893	0.020490180944794
125Ag	47	125	0	0	0	100	0	8830	430	4110	430	0	0	0	0	0.16	0.007	11.8	1	0	0	0	0	0.665158	0.02845831598088	0.021124494608572
126Ag	47	126	0	0	0	100	0	11580	200	4600	200	-120	200	0	0	0.052	0.01	0	0	0	0	0	0	0.66328	0.031173744265969	0.021261735666685
126Ag	47	126	1	0	0	100	0	11580	200	4600	200	-120	200	0	0	0.104	0.005	13.7	1.1	0	0	0	0	0.66328	0.031173744265969	0.021261735666685
127Ag	47	127	0	0	0	100	0	10310	200	5750	200	0	0	0	0	0.084	0.005	14.6	1.5	0	0	0	0	0.657749	0.036912035940881	0.022963349000111
128Ag	47	128	0	0	0	100	0	12620	300	6060	300	1490	300	0	0	0.06	0.005	20	5	0	0	0	0	0.656506	0.037592293295733	0.023566830063299
129Ag	47	129	0	0	0	100	0	11080	400	7190	400	620	400	0	0	0.05	0.004	10	10	0	0	0	0	0.652291	0.044616414129924	0.025260085566223
129Ag	47	129	1	0	0	0	0	11080	400	7190	400	620	400	0	0	0.158	0.06	0	0	0	0	0	0	0.652291	0.044616414129924	0.025260085566223
130Ag	47	130	0	0	0	100	0	15420	500	9290	500	5400	500	0	0	0.041	0.005	0	0	0	0	0	0	0.640478	0.045611616400163	0.029971367430193
131Ag	47	131	0	0	0	100	0	14840	510	12670	500	6540	500	2650	500	0.035	0.008	0	0	0	0	0	0	0.623531	0.054422764227526	0.03759159834544
132Ag	47	132	0	0	0	100	0	16470	540	13360	510	11180	500	5050	500	0.0245	0.0085	0	0	0	0	0	0	0.620316	0.061158051880929	0.039206055780586
126Cd	48	126	0	0	0	100	0	5516	27	149	27	0	0	0	0	0.514	0.009	0	0	0	0	0	0	0.673193	0.020220979568856	0.020196324980652
127Cd	48	127	0	0	0	100	0	8149	24	954	30	0	0	0	0	0.33	0.03	0	0	0	0	0	0	0.673442	0.020292968009328	0.020209620571094
127Cd	48	127	1	0	0	0	0	8149	24	954	30	0	0	0	0	0.33	0.33	0	0	0	0	0	0	0.673442	0.020292968009328	0.020209620571094
128Cd	48	128	0	0	0	100	0	6900	150	1583	22	0	0	0	0	0.2461	0.0021	0	0	0	0	0	0	0.6732	0.02074729902903	0.02020381795602
129Cd	48	129	0	0	0	100	0	9780	17	3020	150	0	0	0	0	0.1559	0.0013	1.84	0.15	0	0	0	0	0.669403	0.024550956555053	0.02043789489571
129Cd	48	129	1	0	0	100	0	9780	17	3020	150	0	0	0	0	0.152	0.008	0	0	0	0	0	0	0.669403	0.024550956555053	0.02043789489571
130Cd	48	130	0	0	0	100	0	8766	44	3649	23	0	0	0	0	0.135365767458563	0.000879812059909	2.90669	0.116655	0	0	0	0	0.667621	0.026328959715053	0.020791134184476
131Cd	48	131	0	0	0	100	0	12810	100	6590	110	1480	100	0	0	0.10003	0.00137834	13.6303	0.4095	0	0	0	0	0.654341	0.040156156325686	0.024535584175905
132Cd	48	132	0	0	0	100	0	12150	210	9690	200	3480	200	0	0	0.084	0.005	60	15	0	0	0	0	0.638406	0.056020550012941	0.031277467652488
133Cd	48	133	0	0	0	100	0	13540	360	10420	300	7960	300	1750	300	0.064	0.008	0	0	0	0	0	0	0.63493	0.05139599391402	0.033455007150051
134Cd	48	134	0	0	0	100	0	12740	500	10470	450	7350	400	4890	400	0.065	0.015	0	0	0	0	0	0	0.634752	0.051242652354787	0.033457722447196
127In	49	127	0	0	0	100	0	6575	19	1048	24	0	0	0	0	1.087	0.011	0.015	0.015	0	0	0	0	0.6733	0.020406258892801	0.020201518804288
127In	49	127	1	408.9	0.3	100	0	6575	19	1048	24	0	0	0	0	3.618	0.032	0.7	0.06	0	0	0	0	0.6733	0.020406258892801	0.020201518804288
127In	49	127	2	1863	58	100	0	6575	19	1048	24	0	0	0	0	1.04	0.1	0	0	0	0	0	0	0.6733	0.020406258892801	0.020201518804288
128In	49	128	0	0	0	100	0	9220	150	1250	150	0	0	0	0	0.84	0.06	0.021	0.021	0	0	0	0	0.6732	0.020530511367231	0.0202117594484
128In	49	128	1	340	60	100	0	9220	150	1250	150	0	0	0	0	0.72	0.1	0.021	0.021	0	0	0	0	0.6732	0.020530511367231	0.0202117594484
129In	49	129	0	0	0	100	0	7753	17	2453	18	0	0	0	0	0.609	0.007	0.23	0.1	0	0	0	0	0.669576	0.021684442390765	0.020411570096355
129In	49	129	1	459	5	99.7	0	7753	17	2453	18	0	0	0	0	1.19	0.03	3.55	0.62	0	0	0	0	0.669576	0.021684442390765	0.020411570096355
129In	49	129	2	1630	56	100	0	7753	17	2453	18	0	0	0	0	0.67	0.1	0	0	0	0	0	0	0.669576	0.021684442390765	0.020411570096355
130In	49	130	0	0	0	100	0	10249	38	2636	42	0	0	0	0	0.274	0.008	1.2	0.29	0	0	0	0	0.669521	0.022727423028071	0.020419783874882
130In	49	130	1	50	50	100	0	10249	38	2636	42	0	0	0	0	0.532	0.006	1.015	1.015	0	0	0	0	0.669521	0.022727423028071	0.020419783874882
130In	49	130	1	400	60	100	0	10249	38	2636	42	0	0	0	0	0.532	0.006	1.015	1.015	0	0	0	0	0.669521	0.022727423028071	0.020419783874882
130In	49	130	2	50	50	100	0	10249	38	2636	42	0	0	0	0	0.532	0.006	1.015	1.015	0	0	0	0	0.669521	0.022727423028071	0.020419783874882
131In	49	131	0	0	0	100	0	9239.5	4.5	4035.9	3.3	0	0	0	0	0.278048530049318	0.006043598782773	2.86358	0.303984	0	0	0	0	0.665458	0.028228226366309	0.021082019347956
131In	49	131	1	302	32	99.982	0	9239.5	4.5	4035.9	3.3	0	0	0	0	0.35	0.03	1.32	1.32	0	0	0	0	0.665458	0.028228226366309	0.021082019347956
131In	49	131	2	3764	88	99	0	9239.5	4.5	4035.9	3.3	0	0	0	0	0.32	0.06	0	0	0	0	0	0	0.665458	0.028228226366309	0.021082019347956
132In	49	132	0	0	0	100	0	14135	60	6782	60	1578	60	0	0	0.213690944745011	0.007411779001533	12.2611	0.870936	0	0	0	0	0.653733	0.041170350408517	0.024743030286529
133In	49	133	0	0	0	100	0	13410	200	11010	200	3660	200	0	0	0.164744386822284	0.002993396122922	88.6724	1.80466	0	0	0	0	0.632708	0.048812685983642	0.033492857401804
134In	49	134	0	0	0	100	0	14770	300	11140	300	8740	300	1390	300	0.136	0.005	65	65	0	0	0	0	0.631743	0.048181968621509	0.033908037177697
135In	49	135	0	0	0	100	0	14100	400	11830	400	8200	400	5800	400	0.101	0.005	0	0	0	0	0	0	0.626441	0.049741818612038	0.036456283612471
136In	49	136	0	0	0	100	0	15390	500	12050	400	9780	400	6150	400	0.086	0.009	0	0	0	0	0	0	0.625734	0.050747636781238	0.036679624846506
137In	49	137	0	0	0	100	0	14750	640	12790	580	9450	500	7180	500	0.07	0.035	0	0	0	0	0	0	0.622626	0.055912313691068	0.038061547410587
133Sn	50	133	0	0	0	100	0	8049.6	3.7	690.1	3.1	0	0	0	0	1.42	0.06	0.0294	0.0024	0	0	0	0	0.673846	0.020225699111388	0.020313385674092
134Sn	50	134	0	0	0	100	0	7586.8	3.6	4418.4	4.5	0	0	0	0	0.990155092159073	0.029713040325603	24.1334	0.881476	0	0	0	0	0.663566	0.030095479622701	0.021320190940055
135Sn	50	135	0	0	0	100	0	9058.1	4.1	5317	3.5	2148.6	4.4	0	0	0.50804578078774	0.027505647874267	19.8801	1.85577	0	0	0	0	0.660448	0.033966532434642	0.02180618842516
136Sn	50	136	0	0	0	100	0	8610	300	5720	300	1980	300	0	0	0.369363306277281	0.003676824138998	19.5624	0.331967	0	0	0	0	0.65773	0.03692187328143	0.022972583085278
137Sn	50	137	0	0	0	100	0	10270	400	6650	400	3760	400	20	400	0.252	0.022	50	10	0	0	0	0	0.654104	0.040376220817883	0.024615968039758
138Sn	50	138	0	0	0	100	0	9400	1200	7130	510	3500	500	620	500	0.145	0.025	0	0	0	0	0	0	0.652401	0.044405002413252	0.025218441016861
139Sn	50	139	0	0	0	100	0	11350	640	7700	1200	5480	500	1850	500	0.13	0.06	0	0	0	0	0	0	0.650177	0.0481981612014	0.02608058832151
134Sb	51	134	0	0	0	100	0	8513.2	3.2	845.3	2.7	0	0	0	0	0.78	0.07	0	0	0	0	0	0	0.673604	0.020222708471775	0.02026014597515
134Sb	51	134	1	279	1	100	0	8513.2	3.2	845.3	2.7	0	0	0	0	10.07	0.05	0.088	0.0036	0	0	0	0	0.673604	0.020222708471775	0.02026014597515
135Sb	51	135	0	0	0	100	0	8038.5	3.2	4772.1	3.8	0	0	0	0	1.668	0.01	22.8	1.8	0	0	0	0	0.66291	0.032513473903753	0.021186498679348
136Sb	51	136	0	0	0	100	0	9918.4	6.3	5150.6	6.1	1884.2	6.4	0	0	0.923	0.014	16.3	3.2	0.5	0.5	0	0	0.661471	0.033948733709181	0.021436253041446
137Sb	51	137	0	0	0	100	0	9243	52	6294	52	1526	52	0	0	0.492	0.025	0.0163	0.0032	0	0	0	0	0.655395	0.03909501280755	0.024143829220372
138Sb	51	138	0	0	0	0	0	11500	1100	7000	1100	4100	1100	-700	1100	0.348	0.015	1.63E-05	3.2E-06	0	0	0	0	0.65283	0.04355916404168	0.025058486227424
139Sb	51	139	0	0	0	100	0	10420	400	7840	400	3370	400	420	400	0.0985	0.0085	90	10	0	0	0	0	0.649209	0.047222446507068	0.026427483083202
140Sb	51	140	0	0	0	0	0	12640	600	8200	600	5610	600	1150	600	0.173	0.012	23	4	7.6	2.5	0	0	0.646873	0.047111561758406	0.027292055809633
141Sb	51	141	0	0	0	100	0	11380	640	9400	500	4950	500	2370	500	0	0	0	0	0	0	0	0	0.639748	0.046023714693119	0.030426663523193
136Te	52	136	0	0	0	100	0	5120	14	1282.6	3.1	0	0	0	0	17.67	0.09	1.31	0.05	0	0	0	0	0.6732	0.020534297163526	0.020210826108796
